iter	Passed	Remaining
0	163	162954
1	167	83352
2	170	56667
3	174	43333
4	177	35406
5	181	30097
6	186	26390
7	189	23514
8	193	21276
9	196	19465
10	200	18051
11	204	16824
12	207	15786
13	211	14902
14	215	14168
15	219	13491
16	222	12890
17	226	12357
18	230	11888
19	233	11465
20	237	11064
21	240	10703
22	244	10367
23	248	10120
24	252	9837
25	255	9571
26	259	9334
27	263	9133
28	266	8930
29	270	8730
30	273	8553
31	276	8377
32	280	8225
33	284	8076
34	287	7938
35	291	7805
36	295	7695
37	299	7577
38	302	7461
39	306	7344
40	309	7235
41	312	7138
42	316	7037
43	319	6942
44	322	6851
45	326	6773
46	329	6689
47	333	6609
48	336	6532
49	340	6463
50	343	6391
51	346	6322
52	350	6267
53	354	6211
54	358	6155
55	361	6098
56	365	6049
57	369	6000
58	372	5947
59	376	5893
60	379	5848
61	383	5797
62	386	5747
63	389	5701
64	393	5653
65	397	5620
66	400	5578
67	403	5535
68	407	5491
69	410	5450
70	414	5417
71	417	5378
72	420	5343
73	423	5305
74	427	5273
75	431	5243
76	434	5208
77	437	5174
78	440	5141
79	445	5117
80	448	5085
81	451	5055
82	454	5026
83	458	4996
84	461	4972
85	465	4943
86	468	4915
87	471	4890
88	475	4869
89	479	4844
90	482	4818
91	485	4794
92	489	4769
93	492	4749
94	496	4727
95	499	4701
96	502	4677
97	505	4654
98	509	4635
99	512	4614
100	516	4593
101	519	4572
102	522	4551
103	526	4535
104	529	4516
105	533	4499
106	537	4481
107	540	4466
108	544	4448
109	547	4431
110	551	4413
111	554	4395
112	558	4382
113	561	4366
114	565	4348
115	568	4330
116	571	4315
117	575	4299
118	578	4283
119	582	4268
120	585	4251
121	589	4239
122	592	4223
123	596	4210
124	599	4195
125	603	4183
126	606	4172
127	610	4159
128	613	4144
129	617	4130
130	621	4121
131	624	4109
132	628	4094
133	631	4081
134	635	4069
135	639	4059
136	642	4047
137	645	4033
138	648	4019
139	652	4008
140	655	3996
141	659	3983
142	662	3970
143	665	3958
144	669	3947
145	672	3936
146	676	3924
147	679	3911
148	682	3899
149	686	3892
150	690	3880
151	693	3867
152	696	3855
153	700	3846
154	703	3836
155	707	3825
156	710	3813
157	713	3802
158	717	3796
159	721	3785
160	724	3774
161	727	3765
162	731	3756
163	735	3748
164	738	3738
165	742	3728
166	745	3718
167	751	3722
168	756	3718
169	759	3708
170	762	3698
171	766	3688
172	769	3678
173	773	3671
174	776	3661
175	779	3651
176	783	3642
177	786	3632
178	790	3624
179	793	3615
180	796	3605
181	799	3595
182	803	3585
183	807	3579
184	810	3569
185	813	3560
186	816	3550
187	819	3541
188	823	3533
189	827	3526
190	830	3516
191	833	3507
192	837	3499
193	840	3491
194	843	3482
195	846	3473
196	850	3465
197	854	3460
198	857	3451
199	860	3442
200	863	3433
201	867	3425
202	870	3419
203	874	3410
204	877	3402
205	880	3394
206	883	3386
207	887	3379
208	890	3371
209	894	3363
210	897	3355
211	900	3348
212	904	3342
213	907	3334
214	911	3326
215	914	3318
216	918	3313
217	921	3306
218	924	3298
219	928	3290
220	932	3287
221	937	3286
222	941	3279
223	944	3271
224	947	3263
225	951	3258
226	954	3251
227	958	3244
228	961	3236
229	965	3230
230	968	3224
231	972	3217
232	975	3211
233	979	3204
234	982	3199
235	986	3192
236	989	3186
237	993	3179
238	996	3173
239	1000	3167
240	1003	3160
241	1007	3154
242	1010	3147
243	1014	3142
244	1017	3136
245	1021	3129
246	1024	3123
247	1027	3116
248	1031	3111
249	1035	3105
250	1038	3099
251	1041	3092
252	1045	3088
253	1049	3082
254	1052	3076
255	1056	3069
256	1059	3063
257	1063	3059
258	1067	3054
259	1071	3048
260	1074	3042
261	1078	3038
262	1082	3033
263	1085	3027
264	1089	3021
265	1093	3017
266	1097	3012
267	1100	3006
268	1104	3001
269	1108	2996
270	1112	2993
271	1116	2988
272	1120	2983
273	1123	2977
274	1128	2974
275	1131	2968
276	1135	2963
277	1138	2957
278	1142	2952
279	1146	2947
280	1149	2942
281	1153	2936
282	1157	2931
283	1160	2925
284	1164	2920
285	1167	2914
286	1170	2908
287	1174	2903
288	1178	2898
289	1181	2892
290	1184	2887
291	1188	2881
292	1192	2877
293	1195	2871
294	1198	2865
295	1202	2860
296	1206	2856
297	1210	2851
298	1213	2845
299	1216	2839
300	1220	2834
301	1223	2828
302	1227	2823
303	1231	2818
304	1234	2813
305	1239	2810
306	1242	2805
307	1246	2800
308	1250	2795
309	1254	2792
310	1258	2787
311	1261	2781
312	1264	2776
313	1269	2772
314	1272	2767
315	1276	2762
316	1279	2756
317	1282	2750
318	1286	2746
319	1290	2741
320	1293	2736
321	1297	2731
322	1301	2727
323	1304	2722
324	1308	2718
325	1312	2713
326	1316	2710
327	1320	2705
328	1323	2700
329	1327	2694
330	1330	2689
331	1334	2685
332	1338	2680
333	1341	2674
334	1344	2668
335	1347	2663
336	1351	2658
337	1355	2653
338	1358	2648
339	1361	2643
340	1365	2637
341	1368	2633
342	1372	2628
343	1375	2623
344	1378	2617
345	1382	2613
346	1385	2607
347	1388	2602
348	1392	2596
349	1395	2591
350	1399	2587
351	1402	2582
352	1406	2577
353	1409	2572
354	1412	2567
355	1416	2563
356	1420	2558
357	1423	2553
358	1427	2547
359	1430	2543
360	1433	2537
361	1436	2532
362	1440	2527
363	1443	2521
364	1447	2518
365	1451	2513
366	1454	2508
367	1458	2504
368	1461	2499
369	1465	2495
370	1469	2490
371	1472	2485
372	1475	2480
373	1479	2476
374	1482	2471
375	1486	2466
376	1489	2461
377	1493	2457
378	1496	2452
379	1500	2447
380	1503	2442
381	1507	2438
382	1510	2433
383	1513	2428
384	1517	2423
385	1520	2419
386	1524	2414
387	1529	2412
388	1532	2407
389	1536	2402
390	1539	2397
391	1543	2394
392	1546	2389
393	1550	2384
394	1553	2379
395	1556	2374
396	1560	2370
397	1564	2366
398	1567	2361
399	1570	2356
400	1574	2351
